"Tanggal","Jenis.Produk","Jumlah.Order","Harga","Total","Bulan","Tahun"
2023-08-09,"CraftLaminasi290",1000,1400,1400000,8,2023
2023-08-09,"Dupleks310",1000,1800,1800000,8,2023
2023-08-10,"Dupleks310",1000,2300,2300000,8,2023
2023-08-10,"Dupleks310",2000,1900,3800000,8,2023
2023-08-11,"Dupleks310",1000,2500,2500000,8,2023
2023-08-11,"Dupleks310",1000,1500,1500000,8,2023
2023-08-11,"Dupleks310",1000,1400,1400000,8,2023
2023-08-13,"Ivory",450,1700,765000,8,2023
2023-08-13,"Foodpak260Matte",3000,1200,3600000,8,2023
2023-08-13,"CraftLaminasi290",2000,1600,3200000,8,2023
2023-08-13,"Dupleks350",2000,1975,3950000,8,2023
2023-08-13,"Ivory270",1000,2250,2250000,8,2023
2023-08-13,"Ivory270",1000,1800,1800000,8,2023
2023-08-13,"Ivory270",1000,1800,1800000,8,2023
2023-08-14,"Ivory230",1000,945,945000,8,2023
2023-08-16,"Dupleks310",1000,2000,2000000,8,2023
2023-08-16,"Dupleks270",1000,2000,2000000,8,2023
2023-08-16,"Craft290",1000,1100,1100000,8,2023
2023-08-16,"Ivory230",1000,950,950000,8,2023
2023-08-17,"Ivory230",3500,1100,3850000,8,2023
2023-08-18,"Ivory250",1000,1700,1700000,8,2023
2023-08-19,"Dupleks270",1000,1900,1900000,8,2023
2023-08-20,"FoodpakMatte245",4000,1500,6000000,8,2023
2023-08-20,"Ivory230",1000,1350,1350000,8,2023
2023-08-20,"Dupleks310",2000,1450,2900000,8,2023
2023-08-20,"Dupleks350",2000,1500,3000000,8,2023
2023-08-20,"Dupleks310",2000,1900,3800000,8,2023
2023-08-20,"Dupleks350",2000,1800,3600000,8,2023
2023-08-20,"Ivory270",1000,2250,2250000,8,2023
2023-08-20,"HVS",5000,300,1500000,8,2023
2023-08-21,"Dupleks310",1000,1850,1850000,8,2023
2023-08-21,"CraftLaminasi290",3000,1000,3000000,8,2023
2023-08-21,"Ivory270",1000,2500,2500000,8,2023
2023-08-21,"Ivory270",1000,2700,2700000,8,2023
2023-08-21,"Dupleks310",2000,1700,3400000,8,2023
2023-08-21,"Foodpak245",2000,1500,3000000,8,2023
